"","HOURS","AGE","EDU","WAGE","NKIDS","HINC","DF"
"1",15,34.91,1,16.42,1,20.53,1
"2",35,55.85,2,3.41,0,17.33,0
"3",43,30.66,2,8.36,0,58.29,0
"4",49,31.17,3,8.04,0,28.34,0
"5",51,30.75,3,7.61,2,33.12,0
"6",42,33.44,3,4.89,1,42.64,0
"7",41,42.52,3,8.3,2,22.25,0
"8",30,31.54,3,9.52,0,16.44,1
"9",0,62.72,3,0,0,24.4,0
"10",34,26.94,1,5.21,0,25.85,0
"11",33,24.77,3,10.88,0,18.85,0
"12",41,29.9,4,9.89,0,58.1,0
"13",59,37.26,4,15.5,3,47.37,0
"14",0,22.23,3,0,0,32.34,0
"15",50,48.2,3,7.48,2,73.76,0
"16",41,28.37,1,4.02,0,26.33,0
"17",54,31.91,3,9.08,2,35.9,0
"18",49,40.89,3,5.81,0,27.03,0
"19",42,23.32,3,4.48,0,27.18,0
"20",33,33.91,2,12.62,2,26.56,1
"21",0,18.79,4,0,0,13.76,0
"22",53,35.61,4,15.58,3,36.25,0
"23",50,21.65,2,6.68,1,17.77,0
"24",0,68.88,2,0,0,13.5,0
"25",0,68.23,2,0,0,38,1
"26",30,34.66,3,4.7,5,21,0
"27",52,24.8,4,8.26,2,21.72,1
"28",31,23.45,2,7.37,0,23.65,1
"29",41,56.08,3,4.44,0,23.65,0
"30",45,31.39,3,11.52,0,39.73,1
"31",50,47.11,3,4.81,2,27.81,0
"32",49,54.15,1,3.58,2,17.48,0
"33",0,60.41,4,0,0,30.71,1
"34",53,24.96,2,7.88,0,26.72,0
"35",47,41.99,2,4.58,0,16.73,0
"36",43,32.54,2,8.2,2,77.14,0
"37",0,34.98,4,0,1,18.73,1
"38",47,39.71,5,12.97,1,29.18,0
"39",49,21.47,1,6.33,0,23.04,0
"40",52,32.8,2,7.48,1,38.26,0
"41",48,18.93,2,4.8,0,10.9,0
"42",42,22.45,2,5.47,0,50.79,1
"43",44,29.32,3,7.64,1,54.09,0
"44",0,48.68,3,0,2,22.56,0
"45",0,61.48,3,0,0,13.03,0
"46",39,58.67,2,3.48,0,21.64,0
"47",40,53.1,3,5.13,0,37.78,0
"48",43,38.42,3,3.51,4,65.61,0
"49",45,25.85,3,8.28,0,20.42,0
"50",44,41.84,2,6.3,2,53.96,0
"51",0,41.45,3,0,0,13.99,0
"52",33,43.06,1,3.2,1,21.3,0
"53",43,45.15,3,7.54,2,35.42,0
"54",32,25.72,3,12.57,0,23.62,1
"55",34,40.64,5,11.25,2,40.42,0
"56",28,21.11,3,4.01,0,25.7,0
"57",50,45.59,3,6.15,1,28.08,0
"58",44,35.37,2,7,2,83.38,0
"59",46,31.24,3,4.46,2,55.88,0
"60",39,33.73,5,12.86,2,60.5,0
"61",0,55.85,1,0,0,15.97,0
"62",43,34.34,2,6.86,1,23.05,0
"63",51,37.45,5,16.83,0,57.93,0
"64",0,30.01,3,0,0,17.12,1
"65",0,76.78,1,0,0,16.73,0
"66",40,38.84,1,3.24,0,13.43,0
"67",31,33.85,2,8.89,0,30.03,0
"68",0,31.78,2,0,1,41.27,0
"69",51,38.77,2,6.19,2,28.51,0
"70",0,23.89,4,0,1,13.58,0
"71",34,27.72,3,4.33,2,17.75,0
"72",0,33.99,2,0,0,16.91,0
"73",39,39.96,3,3.99,4,34.05,0
"74",23,48.44,3,5.63,0,17.61,0
"75",0,77.24,1,0,0,28.32,0
"76",0,27.13,1,0,0,29.22,0
"77",39,24.08,2,4.29,0,41.6,0
"78",20,27.2,2,8.54,0,58.71,1
"79",19,31.29,1,5.76,0,21.84,0
"80",46,33.99,4,13.36,2,48.6,0
"81",53,29.19,4,8.04,3,31.72,0
"82",53,22.15,1,7.25,2,24.96,0
"83",29,46.13,2,12.01,0,17.57,1
"84",0,46.69,4,0,0,19.55,1
"85",0,42.31,2,0,0,15.13,1
"86",40,28.95,5,5.49,0,30.32,0
"87",0,58.95,1,0,3,24.26,0
"88",52,24.38,3,11.81,0,24.46,1
"89",31,24.52,3,6.36,1,28.57,0
"90",35,32.81,3,9.52,2,42.56,0
"91",42,28.91,3,3.81,0,25.9,0
"92",41,39,5,26.39,2,61.75,1
"93",45,33.61,3,22.91,1,43.3,1
"94",53,44.65,5,13.29,0,27.45,1
"95",34,38.84,4,17.45,1,49.7,1
"96",40,37.61,2,14.44,0,29.37,0
"97",44,39.06,3,6.62,0,39.94,0
"98",40,33.7,3,8.72,0,31.01,0
"99",40,29.93,2,14.28,0,31.64,0
"100",50,25.98,2,4.47,0,43.99,0
"101",46,22,3,6.13,0,25.22,0
"102",54,36.2,3,9.85,5,30.34,0
"103",59,21.48,1,4.69,0,28.25,0
"104",50,32.98,1,4.41,2,27.96,0
"105",74,27.16,4,6.59,0,20.65,0
"106",0,23.12,1,0,0,19.42,1
"107",60,33.56,3,4.34,0,36.74,0
"108",0,23.28,3,0,2,32.07,0
"109",0,60.34,4,0,0,14.15,1
"110",44,51.35,4,9.07,3,29.6,0
"111",48,49.62,2,4.53,2,27.13,0
"112",34,32.31,3,7.99,4,47.4,0
"113",44,23.53,1,4.67,0,18.18,0
"114",33,38.85,3,5.69,1,30.29,0
"115",50,30.41,1,7.76,2,39.81,1
"116",42,38.63,5,9.72,0,19.17,0
"117",45,40.36,2,11.41,1,23.04,0
"118",0,51.61,1,0,0,29.35,0
"119",46,31.23,2,19.12,0,55.18,1
"120",53,45.61,1,3.8,0,26.15,0
"121",40,40.56,1,5.96,3,18.99,0
"122",35,27.96,3,2.61,0,15.89,0
"123",47,22.99,2,2.41,0,73.97,0
"124",43,18.55,3,5.35,1,18.55,0
"125",40,28.43,2,4.61,3,24.71,0
"126",25,37.49,3,7.07,2,19.17,0
"127",40,24.67,2,3.4,0,22.52,0
"128",0,64.89,1,0,0,17.61,1
"129",39,20.42,3,2.98,3,28.84,0
"130",34,31.44,4,16.97,3,28.64,0
"131",40,31.07,3,6.49,1,42.23,0
"132",41,22.92,3,10.55,0,38.89,0
"133",54,33.58,3,7.37,0,45.24,0
"134",0,59.5,2,0,0,27.74,0
"135",0,83.13,1,0,0,24.32,0
"136",37,24.62,1,9.65,0,22.95,1
"137",46,26.54,4,9.95,0,41.59,0
"138",0,59.61,1,0,0,21.37,0
"139",33,53.89,4,10.56,1,22.63,1
"140",29,49.88,2,3.13,0,23.26,0
"141",43,30.95,3,9.01,0,36.82,0
"142",51,49.47,3,5.55,1,44.98,0
"143",47,42.58,1,2.89,0,12.67,0
"144",0,82.4,1,0,0,80.15,0
"145",41,41.01,3,10.79,0,23.49,1
"146",45,41.97,3,12.42,0,34.04,1
"147",0,59.34,1,0,0,27.97,0
"148",0,72.99,1,0,0,37.48,0
"149",41,28.85,2,9.15,0,33,0
"150",32,55.1,3,4.58,2,15.95,0
"151",43,28.35,5,5.21,2,70.43,0
"152",37,47.9,1,3.14,1,22.39,0
"153",21,40.07,3,7.18,0,36.42,0
"154",33,23.98,3,8.24,0,24.14,0
"155",0,72.25,2,0,0,32.03,0
"156",37,29.11,1,7.39,0,31.01,0
"157",37,33.94,4,11.18,1,19.98,0
"158",35,23.37,3,5.9,0,33.41,0
"159",47,29.63,4,6.49,1,24.13,0
"160",0,28.21,1,0,2,22.91,0
"161",33,28.71,3,11.44,1,36.51,0
"162",0,18.12,1,0,0,12.93,1
"163",36,20.9,3,5.15,1,45.13,0
"164",0,32.59,1,0,1,27.88,0
"165",0,71.56,1,0,0,15.95,0
"166",47,33.63,3,7.32,2,64.87,0
"167",0,19.99,1,0,0,14.27,0
"168",0,22.77,1,0,0,38.47,0
"169",29,34.92,3,15.82,1,27.64,1
"170",32,19.98,2,3.72,0,34.64,0
"171",50,25.22,1,5.94,3,23.22,0
"172",41,38.38,1,8.98,2,25.92,1
"173",0,30.66,1,0,0,40.13,0
"174",26,21.81,4,4.39,0,80.75,0
"175",0,57.65,3,0,0,41.39,0
"176",46,50.8,3,7.07,0,14.73,0
"177",0,44.2,3,0,0,14.64,0
"178",38,38.61,4,6.54,1,55.36,0
"179",39,24.09,2,5.13,3,22.45,0
"180",0,22.58,3,0,0,47.56,0
"181",42,34.21,3,5.3,0,38.09,0
"182",36,37.78,5,13.02,2,24.59,0
"183",42,35.88,3,15.41,2,59.99,1
"184",0,37.38,1,0,2,19.63,1
"185",49,43.22,3,5.62,3,18.05,0
"186",41,25.18,3,5.4,0,27.67,0
"187",43,42.1,1,3.28,0,16.22,0
"188",37,21.78,2,5.92,0,44.68,0
"189",54,18.67,3,4.54,0,29.33,0
"190",27,28.01,4,5.41,1,13.57,0
"191",0,63.01,1,0,0,45.63,1
"192",50,34.5,2,9.63,0,34.5,0
"193",47,24.99,5,11.46,2,37.93,0
"194",32,40.29,2,7.37,4,21.26,0
"195",52,28.19,1,4.57,2,17.36,0
"196",33,41.35,2,9.72,0,15.76,0
"197",37,40.46,2,6.43,3,21.5,0
"198",30,54.08,4,23.82,0,28.4,1
"199",17,39.51,2,13.13,0,17.6,1
"200",64,25.63,2,5.65,4,34.59,0
"201",46,25.71,3,8.15,0,37.77,0
"202",0,94.95,1,0,0,38.54,1
"203",41,48.56,1,1.8,0,16.81,0
"204",0,25.2,4,0,1,27.78,1
"205",53,37.61,4,12.69,0,42.4,1
"206",42,26.63,1,7.43,1,54.24,0
"207",0,89.75,1,0,0,13.28,0
"208",28,49.47,3,9.4,1,20.7,1
"209",49,22.32,4,5.09,0,25.15,0
"210",0,48.62,1,0,0,34.13,1
"211",45,31.59,3,8.59,1,60.23,0
"212",47,23.33,2,6.29,0,15.34,0
"213",61,32.49,4,9.32,2,35.03,0
"214",0,65.42,3,0,0,19.01,0
"215",0,22.12,2,0,0,20.72,0
"216",48,33.66,4,10.85,2,40.28,0
"217",44,32.68,4,7.52,3,35.01,0
"218",44,37.87,1,4.66,2,15.67,0
"219",32,21.47,3,3.84,2,25.26,0
"220",33,37.64,2,7.31,2,41.68,0
"221",33,38.69,1,8.32,1,14.5,0
"222",44,20.64,2,5.11,0,16.22,0
"223",43,32.54,1,6.43,0,56.13,0
"224",44,52.1,3,6.78,0,26.06,0
"225",0,50.38,3,0,0,17.07,1
"226",54,39.89,3,7.17,1,30.73,0
"227",47,24.62,3,8.58,1,35.74,0
"228",33,25.51,3,6.27,0,30.48,0
"229",38,21.51,3,8.77,0,17.9,0
"230",27,27.31,2,8.95,1,26.41,0
"231",36,28.6,3,10,0,35.87,0
"232",42,26.69,4,8.25,2,62.62,0
"233",35,31.62,1,6.1,2,33.82,0
"234",18,30,1,5.42,0,25.45,0
"235",0,23.09,2,0,1,26.14,0
"236",39,31.01,4,10.81,2,40.93,1
"237",38,30.51,5,9.64,1,54.54,0
"238",0,66.52,1,0,0,18.25,1
"239",56,45.02,3,4,2,35.69,0
"240",0,61.79,3,0,0,28.03,1
"241",31,41.66,3,2.52,0,26.27,0
"242",32,44.11,5,8.59,2,32.75,0
"243",48,49.54,2,5.12,2,36.73,0
"244",57,50.19,2,4.31,3,16.87,0
"245",32,32.87,2,12.35,1,25.88,1
"246",0,27.52,3,0,1,28.29,1
"247",32,35.07,3,7.64,0,25.62,0
"248",45,43.32,1,3.16,0,31.42,0
"249",31,24.87,2,7.73,1,40.17,0
"250",33,33.89,3,7.28,0,18.24,0
"251",50,31.69,3,11.01,0,54.64,0
"252",57,45.68,3,7.85,0,18.3,0
"253",33,43.64,3,16.17,0,35.14,1
"254",36,40.47,4,16.39,0,26.76,1
"255",50,35.84,3,5.9,0,33.37,0
"256",34,40.7,2,6.09,0,15.02,0
"257",50,39.85,3,12.67,0,27.48,1
"258",27,25.51,3,4.8,2,15.55,0
"259",56,21.96,1,5.15,0,13.61,0
"260",43,29.92,2,8.14,1,29.79,0
"261",0,82.08,1,0,0,16.5,1
"262",36,34.1,1,9.54,0,27.21,1
"263",0,59.65,2,0,0,12.96,0
"264",49,29.63,3,8.09,2,40.88,0
"265",30,49.86,1,7.05,0,21.76,0
"266",41,30.65,4,11.99,0,26.82,0
"267",47,34.99,3,6.69,0,38.24,0
"268",32,46.75,1,3.01,2,34.26,0
"269",42,49.08,1,2.66,3,25.2,0
"270",35,58.61,5,8.38,0,32.77,0
"271",45,31.27,4,11.67,0,21.64,0
"272",30,48.53,3,7.56,0,35.76,0
"273",28,25.79,1,5.45,0,17.94,0
"274",42,27.34,2,5.07,0,12.52,0
"275",44,48.96,3,3.73,2,21.43,0
"276",43,38.59,3,26.31,5,62.63,1
"277",31,53.6,3,7.75,2,40.95,0
"278",40,29.44,3,11.69,0,25.68,0
"279",57,35.19,3,7.14,0,46.71,0
"280",0,69.09,1,0,0,20.85,0
"281",0,44.76,1,0,4,22.86,0
"282",0,23.07,4,0,0,14.66,0
"283",0,46.73,4,0,1,39.17,1
"284",38,52.9,4,4.9,0,42.47,0
"285",36,30.61,3,9.03,0,17.68,0
"286",49,33,3,8.82,2,23.97,0
"287",41,20.79,2,8.28,0,21.13,1
"288",47,25.63,4,10.61,0,30.46,0
"289",46,28.79,2,4.97,0,16.92,0
"290",38,50.44,1,4.58,2,19.39,0
"291",0,83.39,1,0,0,16.34,0
"292",57,44.48,3,6.23,1,25.21,0
"293",47,28.64,3,9.42,2,34.72,0
"294",34,37.93,4,9.9,3,36.82,0
"295",44,31.05,4,7.96,2,19.18,0
"296",33,31.44,3,5.63,2,24.96,0
"297",0,63.65,1,0,0,12.82,1
"298",49,35.31,2,5.02,3,22.94,0
"299",39,39.95,2,12.07,4,27.71,0
"300",47,30.6,3,9.86,3,27.03,0
